text,present,missing
 the level sound quality and bass you get through these things is truly top-tier. Just bite the bullet and buy em.,1,0
 Not going to lie at first I thought some of the reviews were fake/paid for but after using these earbuds for a week I'm astonished. ,0,1
 Just bite the bullet and buy em.,0,1
They are also quite small so they don't look like an alien is growing out of your year (though it does have a charming alien face design),0,1
 That was important to me since I use these primarily for the gym. The case is small with magnetic connections and pair very easily. The charging case also is a portable charger.,0,1
 The case is small with magnetic connections and pair very easily. The charging case also is a portable charger.,0,1
I also purchased the Eartheana TWS-X9,0,1
" They sounded surprisingly excellent as well - with a slightly different, b",1,0
" with a slightly different, but not necessarily a better sound.",1,0
" I went the way I usually do, on my own accord and I will tell you straight up this tv is awesome. ",0,1
. They want happy customers.,0,1
" The color is rich, the brightness is excellent, the blacks are black, not washed out like some people say. Even the sound was criticized by some. No way!! Once configured it is fantastic. No sound bar nee",0,1
 Even the sound was criticized by some. No way!! Once configured it is fantastic. No sound bar needed.,1,0
 No sound bar needed.,1,0
TV internal speakers seem oka,1,0
TV internal speakers seem okay for casual viewing since this is not our main T,1,0
" I suggest for anyone concerned about cookies, tracking your viewing, etc. that you go carefully through the menus and turn some/all of these features OFF.",0,1
 okay for casual viewing since this is not our main TV. I suggest for anyone con,0,1
 go carefully through the menus and turn some/all of these features OFF.,0,1
"
My old TV was a 55” Samsung Plasma TV from 2013. ",0,1
 The speakers are 20W but they are adequate for my casual viewing needs. This TV is in our dining room/living room.,1,0
 The speakers are 20W but they are adequate for my casual viewing needs. This TV is in our dining room/living room.,1,0
" And I was actually quite surprised by the overall sound quality, decent bass, and how good this unit fills out my very large music/entertainment room, with pretty decent sound quality, and volume! Honestly, I am impressed with this soundbar! It was exactly what I was looking for.",1,0
" decent bass, and how good this unit fills out my very large music/entertainment room, with pretty decent sound quality, and volume! Honestly, I am impressed with this soundbar! It was exactly what I was looking for.",1,0
". Very disappointing

They look good, feel good, and connect well, good choice if you want wireless headphones but terrible if you’re looking for noice cancellation.",1,0
 As for the bass response: other reviews I have read said it wasn't that good. I disagree. I plated music on Pandora and the bass rattled my brain. I am more than pleased with these.,1,0
" overall sound quality, decent bass, and how good this unit fills out my very large music/entertainment room, with pretty decent sound quality, and volume! Honestly, I am impressed with this soundbar! It was exactly what I wa",1,0
" pretty decent sound quality, and volume! Honestly, I am impressed with this soundbar! It was exactly what I was looking for.",1,0
 It was exactly what I was looking for.,0,1
"The bass is a little lacking, though",1,0
"The sound really fills the room, I'm impressed",1,0
She made sounds arguments throughout,0,1
The bass he caught was enough to feed the whole group,0,1
The pond was filled with bass,0,1
Fish are aquatic animals,0,1
The highs and lows come through very clean.,1,0
 The result is a great listening experience.,1,0
I caught a bass for you,0,1
. I am more than pleased with these.,0,1
. I disagree. I plated music on Pandora and the bass rattled my brain. I am more than pleased with these.,0,1
". These earphones are very comfortable, fit well and I highly recommend these to other people.
Follow from company was very ",0,1
The music quality is fantastic,1,0
". Wish I had!

Sound quality is great overall and I like the style. Too bad they don't hold up well under most noisy conditions.",0,1
"! They work. Once I let go, I hear everything. If you're going to buy a pair, get the Bose. Wish I had!

Sound quality is great overall and I like the style. Too bad they don't hold up well under most noisy conditions.",0,1
"!

Sound quality is great overall and I like the style. Too bad they don't hold up well under most noisy conditions.",1,0
I tried this headphones before buying them,0,1
. I wasn’t planning to buy anything because I already have 8 different headphones at home but... I tried them on and got this Wow feeling. To be honest I wasn’t expecting them to sound this good. I have a really good set of headphones (Senheisser,0,1
. To be honest I wasn’t expecting them to sound this good. I have a really good set of headphones (Senheisser 700 with a DAC and headphone amp connected to my computer) but somehow this pair of Sony just delivered the right sound out of the box. The reason I wasn’t expecting a great sound is that they are wireless and in theory you just can’t ,1,0
